idx,query,reference_reply,intent,should_escalate,escalate_reason
3356,@AmazonHelp what would I do if there is nothing in parcel when delivery arrived how can I return this type of parcel,"Sorry about that, please report that here: https://t.co/HQhpS2qeEd and we'll check that for you. ^MS",return_refund,True,brand redirected to private channel / form / phone
1286,"Yeah, sounds like a really good job to make very decent money",You can search for jobs here: https://t.co/4IQGCd0yX4! ^JJ,general_acknowledgement,False,brand resolved inline (direct answer or probe)
3372,Joe Girard’s Law of 250 states...,"That's not what we want to hear, Jon! Will you tell us more about what's happened? No personal details please. ^CS",general_acknowledgement,False,brand resolved inline (direct answer or probe)
6168,@115850 I went to Moto service center she's asking 5800/- rupees for glassreplacement but u says it's warranty period please tell me truth,Sorry for the unpleasant experience. Please drop in your details here: https://t.co/GIJyeYqKE0. We will sort this for you. ^SB,damage_defective,True,brand redirected to private channel / form / phone
1866,"No, it says: “expected October 4” and that item left seller facility and is in transit, no more updates.","I'm sorry, delayed orders typically arrive within 1-2 business days. Please keep us posted, we want to make sure you get it. ^CL",order_status,False,brand resolved inline (direct answer or probe)
4511,just gt a call frm delivery person regarding where my address is. Yes at 7:58 in the mrning. What a great way to wakeup! #scarcasm,Apologies for the inconvenience with the delivery. I'll forward this as a feedback internally to the concerned teams. ^ST,complaint_feedback,True,frustrated complaint benefits from human de-escalation
1935,The issue is with my Keurig Rivo.,You can reach out to SquareTrade directly here: https://t.co/6jfUHVxUF6 ^CL,technical_issue,True,brand redirected to private channel / form / phone
1546,This isn't good enough I paid for next day delivery your sire says releasing 6th yet now says 1to4 weeks where did it say this on the site,Please contact us here: https://t.co/JzP7hlA23B to look into this further. ^JJ,complaint_feedback,True,brand redirected to private channel / form / phone
4435,"It’s the app that comes already installed. Can you reinstall it? Sorry, I don’t know anything about Kindles!","Let's try some real-time troubleshooting. When you have a moment, please reach out to us here: https://t.co/CYqkdUakWJ ^GM",technical_issue,True,brand redirected to private channel / form / phone
5180,"Haven't yet, and the item is ""ineligible for return""","The seller can resolve issues like this the best. You can do so here: https://t.co/Y5jpI9gRhE by clicking ""Contact Seller"" ^TK",return_refund,False,brand resolved inline (direct answer or probe)
1876,I keep getting the “Problem Occurred” stream is unavoidable prompt when trying to watch TNF Pats v Bucs,I'm sorry you're having streaming issues. Have you tried restarting your device as well as your router/modem? ^AM,technical_issue,False,brand resolved inline (direct answer or probe)
1953,"@143798 @115821 streaming issues with the #ThursdayNightFootball game all night audio issues, quality issues etc. Work in it",I'm sorry for the trouble! Please restart your Amazon Video device and router/modem by unplugging them for 30 seconds. ^JM,technical_issue,False,brand resolved inline (direct answer or probe)
2330,My friends say 'get a life'. Any get a life deal in Great Indian Festival.,Your friends guided you the right away * Chuckles*. You can check all ongoing offers here :  https://t.co/HQwZcVGkqx .^CB,product_inquiry,False,brand resolved inline (direct answer or probe)
3967,Please tell me straight when will i get my money back or please give a proper complaint letter.this one is of no use.,Thanks for keeping us posted. ^HT,return_refund,False,brand resolved inline (direct answer or probe)
1425,Thank you :D,You're welcome! Glad we could help. ^CO,general_acknowledgement,False,brand resolved inline (direct answer or probe)
2530,"Thanks amazon, we don’t even have a doorstep, super safe place 👌🏻 dunno who “malier” is either, parcel is very wet and soggy now... @115821 https://t.co/7m8yCrZhCL","Oh-no! I'm so sorry to see this happened, this is not our intention. Please reach out to us here: https://t.co/JzP7hlA23B ^SA",damage_defective,True,brand redirected to private channel / form / phone
3629,Dear @115850 pls deliver my TV before Diwali...its gift for mom,We've responded to your query here: https://t.co/xUbNEnk1gP. ^HA,order_status,False,brand resolved inline (direct answer or probe)
2347,but you make customer to fool in every sale,I'm sorry for the inconvenience. I have taken it as a feedback and sent it to the concerned team internally. ^GU,complaint_feedback,True,frustrated complaint benefits from human de-escalation
4257,@115821 @115850,That's quite a remark! Could you let us know what went wrong? We'd like to look into it. ^HD,general_acknowledgement,False,brand resolved inline (direct answer or probe)
2074,@AmazonHelp,Sorry to hear the issue is not resolved. Please drop in your details here: https://t.co/GIJyeYqKE0 &amp; we'll have a closer look. ^BS,general_acknowledgement,True,brand redirected to private channel / form / phone
146,"Team, is that your cust service just an apology and no action for the delay. Good job guys.",We're sorry for the trouble. Please fill this form: https://t.co/beaaDm0muc so we can get this resolved on priority.^RS,complaint_feedback,True,frustrated complaint benefits from human de-escalation
2857,uhhh i just got an amazon package and it smells like the delivery person was smoking in the van all day...,I'm really sorry to hear this! Who was the carrier for this shipment: https://t.co/q4LAMZ3tbE? ^BV,damage_defective,False,brand resolved inline (direct answer or probe)
4434,Used the mobile app.,Any return/replacement options will be available on the order details in Your Account: https://t.co/Y5jpI9gRhE ^EP,technical_issue,False,brand resolved inline (direct answer or probe)
2239,What a deal @115850 increased the price by Rs19 n giving lighting deal of Rs20. Effective price change of Re -1. https://t.co/gG2CSl5Q9o,Pricing and offers are decision of the sellers. The constantly changing marketplace and our efforts to offer you 1/2^HN,billing_payment,False,brand resolved inline (direct answer or probe)
6098,It says UPS. Can I get another sent out today if possible?,"Thanks for the info! Have you tried us by phone for real-time assistance? If not, please call us here: https://t.co/hApLpMlfHN ^FR",order_status,True,brand redirected to private channel / form / phone
1875,"#ThursdayNightFootball brought to me by @117795. Good times, wish the game would come back. #fail https://t.co/Y9syqf1owQ",Please restart the device your'e streaming on and give it another try in a few minutes. Let us know if it continues. ^CL,technical_issue,False,brand resolved inline (direct answer or probe)
4253,Ok,Appreciate your understanding. ^YP,general_acknowledgement,False,brand resolved inline (direct answer or probe)
2287,insect in pasta https://t.co/XC5NYXYCFK,That's unusual. Apologies for the trouble. Please share your details here: https://t.co/GIJyeYqKE0 and we'll reach out. ^KA,damage_defective,True,brand redirected to private channel / form / phone
473,Bought LG Q6 on 18 September with No Int. EMI. While checking out Use wallet was automatically checked and now the support wont make it EMI,We apologize for the mismatch. Allow our support team to investigate . You can report this here: https://t.co/R3EfhzgU8B ^CB.,billing_payment,False,brand resolved inline (direct answer or probe)
5645,"hi, I need to talk about a defective product I received but my no is blocked. So could u please give me a call ASAP??! https://t.co/VpvcPcBWpu",I understand your concern. Please report this to our support team using the email or chat option. We'll help. ^ST,damage_defective,False,brand resolved inline (direct answer or probe)
3367,My Amazon order still hasn't arrived yet... @115830,Sorry to hear this. Have we missed the delivery date advised? ^PK,order_status,False,brand resolved inline (direct answer or probe)
2666,"I don't know what the fuck Amazon Logistics think they're playing at, attempting delivery to a business address at 8:15pm.",I'm so sorry about this. Please reach out to us by phone so we can investigate this further with you: https://t.co/qy3J24VGxb ^GR,complaint_feedback,True,red-flag / angry language
6189,No use. Tried. Thr shd be place for real time feedbk for custs on trkng page. Why u blmg cust for ur failr to deliver. Strt puttn real updt,Sorry about this inconvenience. Please share your details here: https://t.co/GIJyeYqKE0 and I'll get in touch with you. ^MK,complaint_feedback,True,brand redirected to private channel / form / phone
5629,will it accept commands to work with @128308 ?,Request you to keep checking the Echo page for new devices that will support Alexa. ^GS,technical_issue,False,brand resolved inline (direct answer or probe)
3842,Any chance of you picking up the mi a1? I don't want to use the... Uhmmm..... Other guys....,You can use the following link for assistance with returning your order : https://t.co/3yqvLnyTxi. ^RS,product_inquiry,False,brand resolved inline (direct answer or probe)
4457,Anything with a web browser,Please let us look into this further by using this link: https://t.co/hApLpMlfHN ^DO,technical_issue,True,brand redirected to private channel / form / phone
5463,I find this argument meaningless. If u r not interested in resolving the issue just say so. Even aftr writing to ur customer care no action,"I get your concern. However, we'll not be able to check your information over Twitter. Request you to share your (1/2) ^GK",damage_defective,False,brand resolved inline (direct answer or probe)
4522,Who Is Selling #Carvaan Product With Wrong Image &amp; Brand Name “SARAGAMA” Instead Of “SAREGAMA” Only In @115850 @AmazonHelp https://t.co/aE1dXJ36vf,Thanks for flagging this. I'll forward this internally for review. ^PS,product_inquiry,False,brand resolved inline (direct answer or probe)
478,are u not ashamed of your self to promote ur great Indian festival by luring customers with fake prizes? Who's genius idea is this,This isn't what we expect you to feel. Kindly let us know how can we make things better for you. ^CB,complaint_feedback,True,frustrated complaint benefits from human de-escalation
3036,"jst got this delivered now,it's status also is not updated to delivered but the protective padding is damaged, request for refund. https://t.co/199Gk8xB80",We're sorry to see this. Please contact us here: https://t.co/vlvfJr4nN9 so we could get the issue resolved on priority.^RS,damage_defective,True,brand redirected to private channel / form / phone
5013,I hv ordered a dress to which it's saying is delivered but it's not in actual.look in to the matter plz,Sorry for the hassle. Please contact us here: https://t.co/vlvfJr4nN9 and we'll help you with this. ^SQ,order_status,True,brand redirected to private channel / form / phone
1024,Still I have not received my sales invoice very worst Service of Amazon as I have already told that I have to submit the Bill for the compln,Please bear with us and we'll get back on this shortly. ^HT,complaint_feedback,True,frustrated complaint benefits from human de-escalation
1618,a suggestion. It's difficult to browse this format https://t.co/We2P6Usvg7,You can always use the voice assistant to narrow down your search! Ready to experience new feature? ^SV,product_inquiry,False,brand resolved inline (direct answer or probe)
3107,Can you pls help me on this,Kindly get in touch with us here: https://t.co/wYeA1o7fcd and we’ll be glad to help you. ^AG,general_acknowledgement,True,brand redirected to private channel / form / phone
995,"what the fucking service. Didn't call to customer nd refunded products, order date-29sep2017,order id- 408-1407922-2237939",Sorry about that. Kindly get in touch with us here: https://t.co/DUexvWeCdE and we’ll be glad to help you. ^AG,complaint_feedback,True,brand redirected to private channel / form / phone
3290,Waiting in for an Amazon logistics delivery is boring :-(,I'm sorry for the wait! You may be interested in setting a safe place for your future deliveries: https://t.co/BqqTIPyVdL ^RA,order_status,False,brand resolved inline (direct answer or probe)
1877,so this is what I get when I pay for amazon prime? Thanks for the frozen stream on WiFi. 🤦🏽‍♂️🤦🏽‍♂️🤦🏽‍♂️ https://t.co/gBZvyh7EYY,We’re sorry to hear you’re experiencing video quality issues. Kindly connect with us (1/2)^SQ,complaint_feedback,True,frustrated complaint benefits from human de-escalation
5544,The same defective item order was resent to me as replacemnt.Is thr any Quality contrl at Amazon Order no.408-2904446-2943566,Please get in touch with our team using this link: https://t.co/rS49hgaADF and we'll look forward to assisting you. ^AK (1/2),damage_defective,True,brand redirected to private channel / form / phone
5910,How nu given mere feedback on ur website will resolve issue. The concern I have. Has been already mentioned. Can u help in that ?,We do not have access to your account over Twitter. Kindly request you to reach out to our support team for further help. ^OS,complaint_feedback,True,brand redirected to private channel / form / phone
1828,"I know this is a first-world problem, but Amazon really fucks me over a lot with their ""guaranteed"" same-day delivery offers.",I'm sorry for the poor experience! We'd like to help. Is this regarding a current order shown here: https://t.co/Y5jpI9gRhE? ^AG,complaint_feedback,True,frustrated complaint benefits from human de-escalation
117,@115821 : have shared order details at https://t.co/Soarz7SeHk,We've received your details. You should see a correspondence from us soon. ^YP,order_status,False,brand resolved inline (direct answer or probe)
3086,"No haven’t received any emails, that’s the second time you have asked me that",Please use the following link so we can look further into this with you: https://t.co/aPsjE2eHpc ^DO,complaint_feedback,True,frustrated complaint benefits from human de-escalation
6061,When will I be able to apply for a refund. The item isn't needed now if it won't be here on time.,I'm sorry! We don't have access to order information via Twitter. Please reach out to us here: https://t.co/JzP7hlA23B ^TK,return_refund,True,brand redirected to private channel / form / phone
3272,"""Out for Delivery"" which was posted at 7am this morning.",We don't have delivery time slots but it delivery can be up to 10PM.^CD,order_status,False,brand resolved inline (direct answer or probe)
5614,hello unable to see suits season 6 episode 11-16,Unfortunately these episodes are no longer available. We’re constantly adding new content to our library. We will (1/2) ^GK,technical_issue,False,brand resolved inline (direct answer or probe)
6010,it was amazonuk I ordered from,It's not uncommon for orders to ship near or on their delivery date. Let us know if you don't receive it by then. ^KP,order_status,False,brand resolved inline (direct answer or probe)
4108,Amazon,Hmm. Let's see what additional information we can provide: https://t.co/hApLpMlfHN ^JZ,general_acknowledgement,False,brand resolved inline (direct answer or probe)
3403,"Will I be getting this order# 405-0813433-8085927 picked up, so that I get the replacement initiated?! Pretty unsatisfied!!!",We'd like to have a look into this. Kindly report it here: https://t.co/2t6DQoUmNZ and our team will revert shortly 1/2 ^AB,return_refund,False,brand resolved inline (direct answer or probe)
1433,When @AmazonHelp says they’ll replace your lost parcel at no extra cost yet you still get a £1 charge from them... 🤔,"A £1.00 authorisation charge can happen at dispatch, even if it's no cost. The charge will fall off in a day or two. ^MJ",billing_payment,False,brand resolved inline (direct answer or probe)
3953,"Hi @AmazonHelp , my order id is 406-5211780-7866716, it is in hub from last 36 hours &amp; on hold, can u contact them and make it deliver ?",Usually the products are delivered by the estimated date of delivery. Could you tell me if we've missed on it? (1/2)^AU,order_status,False,brand resolved inline (direct answer or probe)
3129,Why can't i order my subscribe-and-save items before schedule? Have changed payment method as suggested. Still see this. https://t.co/lfFH64W0JA,Sorry for the trouble you've had. Kindly reach out to our support team here: https://t.co/2t6DQoUmNZ &amp; they'll help you with it.^MM,technical_issue,True,brand redirected to private channel / form / phone
1541,how can I stop things being sent to me by amazon logistics? Next day delivery means next evening delivery for me every time.,I'm sorry for the poor delivery experiences! Have you reported this to our Customer Support team: https://t.co/JzP7hlA23B? ^ME,complaint_feedback,True,frustrated complaint benefits from human de-escalation
2546,"hi my gf ordered me this game (new sold by amazon) and it arrived with no plastic covering, is that normal for this game? https://t.co/tWGK3amn8Q","Hi there! Normally new games do come wrapped. If you want a return, we can help you out here: https://t.co/mOUYw7mWBf ^JD",damage_defective,False,brand resolved inline (direct answer or probe)
4482,https://t.co/kenSTrXBUd,Thanks for the picture. We'd like to look into this. Please send us the order details here: https://t.co/UaptGrnp1n ^BH,general_acknowledgement,True,brand redirected to private channel / form / phone
1815,No there is no edit option.,I'd like to have a member from our support team lend you a hand; please contact us here: https://t.co/JzP7hlA23B ^WM,general_acknowledgement,True,brand redirected to private channel / form / phone
2243,"I received a very bad quality product, i want a refund and amazon guy is saying he cant help me.. Order no: 406-6200198-1381151",That's sad to hear about the quality you received from our website. Let me investigate this further. (1/2) ^VM,damage_defective,False,brand resolved inline (direct answer or probe)
2635,What is the procedure when @115850 delivery guy straight-up lies about attempting a delivery?,Allow our support team to investigate this. You can report this here: https://t.co/R3EfhzgU8B ^CB.,complaint_feedback,True,frustrated complaint benefits from human de-escalation
106,@115821 How do you create a wishlist? I've been trying to figure it out for a while.,We can help! Here's some helpful info on how to create a wishlist: https://t.co/5bpfIRYpwY I hope this helps! ^AD,product_inquiry,False,brand resolved inline (direct answer or probe)
3865,It is more than 6 months  and amount is not processed,Could you confirm reaching out to our support team using the link shared earlier? ^GK,return_refund,False,brand resolved inline (direct answer or probe)
3928,What do think people do at the first instance.   FYI : this is an escalation https://t.co/JbKTUSByQx,"here: https://t.co/beaaDm0muc, we'll get back to you soon. (2/2)^AP",complaint_feedback,True,frustrated complaint benefits from human de-escalation
1191,Dat wld b fine!,Do keep us posted for any further concerns. ^SG,general_acknowledgement,False,brand resolved inline (direct answer or probe)
302,Same issue,We'd like to take a look at this a bit closer with you. Please call or chat with us here: https://t.co/hApLpMlfHN ^MH,general_acknowledgement,False,brand resolved inline (direct answer or probe)
6257,you might want to talk to @115817 about #whatcanbrowndoforyou ... like leaving completely crumbled &amp; open boxes on doorsteps today 😡 https://t.co/Ol1yTUECMm,"Sorry for the poor experience, Robin. Will you let us know the condition of the item? We're here to help! ^AB",damage_defective,False,brand resolved inline (direct answer or probe)
3262,"you guys just keep asking, cant see any action or signs of it! all blindspot episodes","Sorry for the inconvenience. We've escalated the issue to our relevant team, this shall be resolved soon. ^SH",technical_issue,False,brand resolved inline (direct answer or probe)
5032,"Hi, I had a parcel delivered the other day, however its gone to the neighbour and I havent been told which one... Help please 😭","Oh no, we'd be happy to help! Reach us here chat or phone and we'll take a look together: https://t.co/JzP7hlA23B ^KN",order_status,True,brand redirected to private channel / form / phone
5540,Why is this a girl's step stool?,Thanks for letting us know. I've made sure to pass your feedback along to our website team. ^AF,product_inquiry,False,brand resolved inline (direct answer or probe)
2815,Why is it so difficult to find a customer support # @115821 it be easier for me to get in touch with the @140 for Christ sake! Like WTF!,We're here and happy to help! We can be contacted via phone here: https://t.co/hApLpMlfHN Keep us posted! ^ML,complaint_feedback,True,frustrated complaint benefits from human de-escalation
4660,Question.  Is my Firestick going bad?  I keep getting an overheating message even after only watching something 4 less than hr,"Hey, please contact us here for help:  https://t.co/hApLpMlfHN",technical_issue,True,brand redirected to private channel / form / phone
915,Y’all want me to sign in and then what,"Once signed in, you'll be able to track the package and a carrier will be listed under ""Shipment details."" ^GG",account_access,False,brand resolved inline (direct answer or probe)
1601,Okay 😮... But hey.. thanks for your ears 🙄,You're welcome. Do keep us posted for any further concerns. ^SG,general_acknowledgement,False,brand resolved inline (direct answer or probe)
556,My foot size is 10.5 UK/India - can u manage the product mentioned in the link? https://t.co/LBY3ZKkhjK,You may use the filters to narrow down the search for the product. The products are sold by different sellers. ^HA,damage_defective,False,brand resolved inline (direct answer or probe)
2680,It's not good enough!! I wanted it on its release date!! I don't see how it's been out for dispatch all day and then tonight it changes!,"Late parcels typically arrive the next day. For options, feel free to contact via phone/chat here: https://t.co/hApLpM3Ejd ^BH",complaint_feedback,True,frustrated complaint benefits from human de-escalation
3643,"The options pointed to were the ones on the web page... Look everywhere, and then wait.",We'd like to look into this with you some more. Please reach us for real time assistance here: https://t.co/hApLpMlfHN ^DW,complaint_feedback,True,brand redirected to private channel / form / phone
4666,Today. It was and then got an email saying it couldn’t be delievered today. No explanation as to why,"As we're unable to view your account via Twitter, pls contact here:https://t.co/JzP7hlA23B  so we can look further into this.^KM",order_status,False,brand resolved inline (direct answer or probe)
3192,i have been waiting for 3 days to get this order delivered. Every one is making fake promises order #403-7039774-2259522,"Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public. (2/2)^AU",order_status,False,brand resolved inline (direct answer or probe)
1784,#JCPenny #Dickies #Amazon  Ordered clothes from all 3 same day about  4 weeks ago #Pennies 2 Days #Dickies 4 #Amazon still hasn't come yet,I'm so sorry about the delay! Have we missed the delivery date given here: https://t.co/Y5jpI9gRhE? ^AG,order_status,False,brand resolved inline (direct answer or probe)
811,also it states handed to resident when he clearly didn’t — also didn’t see post box screwed to wall or follow safe place info2/2,I'm so sorry for the poor experience! We'd like to look into our available options for you here: https://t.co/JzP7hlA23B ^AG,order_status,False,brand resolved inline (direct answer or probe)
555,cryptography and network security book by William Stalling may be. Checking for offer on that book from August😂 @AmazonHelp,That's an awesome choice. It looks like we're running a 13% discount on the book right now. ^AP,product_inquiry,False,brand resolved inline (direct answer or probe)
2421,That takes me to a 'placeholder' for content?,Please use this link to phone or chat in so we can look into this with you in real-time: https://t.co/qy3J24VGxb ^GL,technical_issue,True,brand redirected to private channel / form / phone
3764,"also, i copied and pasted the code directly from the email, so i'm not sure what's wrong",I certainly understand what you mean! We'd like to take a closer look. Please reach out to us here: https://t.co/hApLpMlfHN ^HC,technical_issue,True,brand redirected to private channel / form / phone
1741,Please help me. My #OCD gets triggered. I am allergic to duplicated punctuation marks. 😄 https://t.co/HxXN9vpTHL,"Hi, I will gladly forward your feedback.. 😂 ^SI",product_inquiry,False,brand resolved inline (direct answer or probe)
4792,Hey @115850 why it is showing that it will take 1 week more when it is in Allahabad which is not far from delivering address https://t.co/w1TCspcwxH,The packages are shipped to meet the estimates. Please wait until the estimated delivery date and it will be delivered. ^HN,order_status,False,brand resolved inline (direct answer or probe)
270,Uninstalled and reinstalled. Same problem. Better pull the app than to have one that doesn’t work @115821 @116618 @117014,"Sorry, please contact us here: https://t.co/hApLpMlfHN so this can be investigated further. ^JJ",technical_issue,True,brand redirected to private channel / form / phone
183,"Update: Amazon rep promised cancellation if order and £5. Order not cancelled, book dispatched. No credit on account.... https://t.co/VEDulJFtMP",Sorry for the miscommunication! I'd like to have my team look into this. Please send your info here: https://t.co/RG0FxYDc3i ^JM,return_refund,False,brand resolved inline (direct answer or probe)
806,"- had a problem with an order, emailed amazon and they fixed it and made me a VERY happy customer. Best company ever. Thank you!!",Thanks for sharing! Please let us know if you need any additional help in the near or far future! ❤️😍😁 ^KJ,general_acknowledgement,False,brand resolved inline (direct answer or probe)
5053,one of my prime deliveries says it's being held by carrier how do I get it delivered?,I'm sorry to hear it's being held! We can't see the order on Twitter so please reach us here: https://t.co/JzP7hlA23B ^DD,order_status,True,brand redirected to private channel / form / phone
4385,. They also failed to follow up with me when they said they would. Spent over an hour on the phone with the call center in Ghana?!?,I'd like a member of our team to take a look into this. Please provide your details here: https://t.co/Ob5fWnsECO ^AN,complaint_feedback,True,frustrated complaint benefits from human de-escalation
2836,I'm a prime member and I paid extra for next day shipping,I'm sorry you haven't received your package! Let's take a look into available options via phone or chat:https://t.co/hApLpMlfHN ^ML,order_status,True,brand redirected to private channel / form / phone
3438,These folks at @115850 are amazing! Delivered a package at 9 p.m. in pouring rain. Wasn't even urgent - just a sketching pencil. 👍 🙂,"Any package of yours is important to us, appreciate you taking time out to show your love for us. ^MS",general_acknowledgement,False,brand resolved inline (direct answer or probe)
3971,Thanks for this,You're welcome. :) ^HR,general_acknowledgement,False,brand resolved inline (direct answer or probe)
617,"I know about all of dem, i m talking about that cute little clock shaped echo spot.","While we haven't made any official announcement for Echo spot, please stay tuned to the website for updates. ^MS",product_inquiry,False,brand resolved inline (direct answer or probe)
4989,"It said it should have arrived by yesterday,  still no sign.",We'd like to take a closer look into the delivery. Please contact us here: https://t.co/JzP7hlA23B ^LI,order_status,True,brand redirected to private channel / form / phone
6195,"check up on your delivery people.Don’t send a notification stating attempted to deliver when there was no such attempt made,at7:40am",I'm sorry for the trouble with your delivery. Do you mind confirming the name of the carrier listed here: https://t.co/Y5jpI9gRhE ^RA,complaint_feedback,True,frustrated complaint benefits from human de-escalation
3681,Legit never buying anything on @115821 ever again 😭💔 what even is thiiiis https://t.co/3XLJdlYEFn,"I'm sorry it wasn't as expected. Was this shipped directly by Amazon, or a third-party seller: https://t.co/Y5jpI9gRhE? ^JR",complaint_feedback,True,frustrated complaint benefits from human de-escalation
1630,"I am not able to access https://t.co/6l9mH9cUI4. I keep getting the ""Sorry! Something went wrong!"" page with various dogs.","Oh no! I'm sorry about the troubles accessing the site, Al! Which browser you are using &amp; have you tried a different one yet? ^FR",technical_issue,False,brand resolved inline (direct answer or probe)
