idx,query,intent_true,escalate_true,intent_pred,conf,reply,should_escalate_pred,reason,retrieval_score,neighbor_redirect_fraction
1953,"@143798 @115821 streaming issues with the #ThursdayNightFootball game all night audio issues, quality issues etc. Work in it",technical_issue,False,technical_issue,0.185,Sounds to be a good addition! I'll be sure to share your comments as feedback with the team internally for a review. ^Support,True,low intent confidence (0.18),0.638,0.200
2330,My friends say 'get a life'. Any get a life deal in Great Indian Festival.,product_inquiry,False,complaint_feedback,0.232,"Thank you for keeping us posted, Arif. This is not an amazon website. Request you not to provide any details. ^Support",True,low intent confidence (0.23),0.508,0.200
3967,Please tell me straight when will i get my money back or please give a proper complaint letter.this one is of no use.,return_refund,False,return_refund,0.521,No problem. I'm glad they have gotten back to you. ^Support,False,clear query with a known inline resolution,0.654,0.000
1425,Thank you :D,general_acknowledgement,False,general_acknowledgement,0.583,You're most welcome. ^Support,False,clear query with a known inline resolution,0.772,0.000
2530,"Thanks amazon, we don’t even have a doorstep, super safe place 👌🏻 dunno who “malier” is either, parcel is very wet and soggy now... @115821 https://t.co/7m8yCrZhCL",damage_defective,True,order_status,0.297,Sorry to see that. Have you tried using https://t.co/lw0Y79cBON? ^Support,True,brand typically redirects similar queries (NN redirect 60%); low intent confidence (0.30),0.529,0.600
3629,Dear @115850 pls deliver my TV before Diwali...its gift for mom,order_status,False,order_status,0.315,"We used the fastest Diwali rocket we had to deliver this order, glad to know it went through the hearts :P #happydiwali ^Support",False,clear query with a known inline resolution,0.675,0.200
2347,but you make customer to fool in every sale,complaint_feedback,True,complaint_feedback,0.612,If there is an issue with the item received you can return it using this link: https://t.co/3yqvLnyTxi ^Support,False,clear query with a known inline resolution,0.648,0.200
4257,@115821 @115850,general_acknowledgement,False,product_inquiry,0.205,"Please don't provide your order details, as we consider it to be personal information. Our page is visible to the public. ^Support",True,low intent confidence (0.20),0.969,0.200
2074,@AmazonHelp,general_acknowledgement,True,product_inquiry,0.190,Sorry about that. We've sent a correspondence to your registered email address. You may reply to the email for help. ^Support,True,low intent confidence (0.19),1.000,0.400
146,"Team, is that your cust service just an apology and no action for the delay. Good job guys.",complaint_feedback,True,complaint_feedback,0.354,That's quite a remark! Please write to us here: https://t.co/GIJyeYqKE0 and I'll reach out to you. ^Support,False,clear query with a known inline resolution,0.554,0.200
2857,uhhh i just got an amazon package and it smells like the delivery person was smoking in the van all day...,damage_defective,False,order_status,0.336,"Oh no! Just in case, please try these steps, and keep us posted: https://t.co/JHl2AmqZ3r ^Support",False,clear query with a known inline resolution,0.550,0.200
4434,Used the mobile app.,technical_issue,False,technical_issue,0.418,"I'm unable to re-create the issue. Please contact us by chat or phone for live assistance, here: https://t.co/hApLpMlfHN ^Support",True,brand typically redirects similar queries (NN redirect 80%),0.651,0.800
2239,What a deal @115850 increased the price by Rs19 n giving lighting deal of Rs20. Effective price change of Re -1. https://t.co/gG2CSl5Q9o,billing_payment,False,product_inquiry,0.246,Pricing and offers are decision of the sellers. The constantly changing marketplace and our efforts to offer (1/2) ^Support,True,low intent confidence (0.25),0.646,0.000
6098,It says UPS. Can I get another sent out today if possible?,order_status,True,order_status,0.481,We'd like to help you! Please reach out to us via phone/chat here: https://t.co/hApLpMlfHN for more assistance with this. ^Support,False,clear query with a known inline resolution,0.686,0.400
1875,"#ThursdayNightFootball brought to me by @117795. Good times, wish the game would come back. #fail https://t.co/Y9syqf1owQ",technical_issue,False,general_acknowledgement,0.169,Sounds to be a good addition! I'll be sure to share your comments as feedback with the team internally for a review. ^Support,True,low intent confidence (0.17),0.581,0.400
4253,Ok,general_acknowledgement,False,general_acknowledgement,0.212,Thank you for understanding. Kindly reach out to our support team using the link provided earlier. ^Support,True,low intent confidence (0.21),1.000,0.200
2287,insect in pasta https://t.co/XC5NYXYCFK,damage_defective,True,product_inquiry,0.250,I’m sorry that you have received your package in broken condition. You may share your 1/2 ^Support,True,low intent confidence (0.25),0.369,0.200
473,Bought LG Q6 on 18 September with No Int. EMI. While checking out Use wallet was automatically checked and now the support wont make it EMI,billing_payment,False,billing_payment,0.207,"I'm sorry Harsha, EMI option is only provided on valid credit cards. ^Support",True,Billing / payment requires private/account details; low intent confidence (0.21),0.467,0.200
5645,"hi, I need to talk about a defective product I received but my no is blocked. So could u please give me a call ASAP??! https://t.co/VpvcPcBWpu",damage_defective,False,damage_defective,0.235,Sorry for the hassle. You can choose to chat with us or drop us an email as well from here: https://t.co/vlvfJr4nN9. ^Support,True,brand typically redirects similar queries (NN redirect 60%); Damaged / defective / wrong item requires private/account details; low intent confidence (0.23),0.653,0.600
3367,My Amazon order still hasn't arrived yet... @115830,order_status,False,order_status,0.495,"Congrats!!! 😝😝 Just kidding, I'm glad the order has been delivered. Hope you enjoy the sale. ^Support",False,clear query with a known inline resolution,0.796,0.200
2666,"I don't know what the fuck Amazon Logistics think they're playing at, attempting delivery to a business address at 8:15pm.",complaint_feedback,True,order_status,0.609,"I'm so sorry to hear this, Matthew! Please reach out to us here: https://t.co/JzP7hlA23B so we can take a closer look. ^Support",True,red-flag language needs human / legal handling,0.681,0.200
6189,No use. Tried. Thr shd be place for real time feedbk for custs on trkng page. Why u blmg cust for ur failr to deliver. Strt puttn real updt,complaint_feedback,True,complaint_feedback,0.251,Sorry to know about the delivery issue. Please report the issue to our support team here: https://t.co/00q4Sqj9zL (1/2) ^Support,True,low intent confidence (0.25),0.379,0.200
5629,will it accept commands to work with @128308 ?,technical_issue,False,general_acknowledgement,0.213,Hi there! Unfortunately Amazon does not accept PayPal at this time. ^Support,True,low intent confidence (0.21),0.467,0.200
3842,Any chance of you picking up the mi a1? I don't want to use the... Uhmmm..... Other guys....,product_inquiry,False,product_inquiry,0.422,Keep us posted for any further concerns. ^Support,False,clear query with a known inline resolution,0.415,0.000
4457,Anything with a web browser,technical_issue,True,product_inquiry,0.333,We aren't able to reproduce this. Please reach out to us by phone here: https://t.co/JzP7hlA23B ^Support,False,clear query with a known inline resolution,0.471,0.400
5463,I find this argument meaningless. If u r not interested in resolving the issue just say so. Even aftr writing to ur customer care no action,damage_defective,False,complaint_feedback,0.390,This being a social platform we can not access your account details. Kindly contact us using the link shared earlier. ^Support,False,clear query with a known inline resolution,0.588,0.400
4522,Who Is Selling #Carvaan Product With Wrong Image &amp; Brand Name “SARAGAMA” Instead Of “SAREGAMA” Only In @115850 @AmazonHelp https://t.co/aE1dXJ36vf,product_inquiry,False,product_inquiry,0.245,Apologies for the inconvenience. Request you to get in touch with our support team here : https://t.co/TdDksLo6Mf.^Support,True,brand typically redirects similar queries (NN redirect 60%); low intent confidence (0.24),0.507,0.600
478,are u not ashamed of your self to promote ur great Indian festival by luring customers with fake prizes? Who's genius idea is this,complaint_feedback,True,complaint_feedback,0.390,"Thank you for keeping us posted, Arif. This is not an amazon website. Request you not to provide any details. ^Support",False,clear query with a known inline resolution,0.649,0.400
3036,"jst got this delivered now,it's status also is not updated to delivered but the protective padding is damaged, request for refund. https://t.co/199Gk8xB80",damage_defective,True,damage_defective,0.325,"I'm sorry to know about the delivery issue. Believe me, this is not what we intended. We can't gain access (1/3) ^Support",True,Damaged / defective / wrong item requires private/account details,0.543,0.400
5013,I hv ordered a dress to which it's saying is delivered but it's not in actual.look in to the matter plz,order_status,True,order_status,0.396,We apologize for the hassle. Allow our support team to investigate . You can report this here: https://t.co/R3EfhzgU8B ^Support.,False,clear query with a known inline resolution,0.560,0.400
1024,Still I have not received my sales invoice very worst Service of Amazon as I have already told that I have to submit the Bill for the compln,complaint_feedback,True,billing_payment,0.258,We are sorry to hear about your experience. Please refer the link here https://t.co/bQtURLmSQc on how to print an invoice.^Support,True,Billing / payment requires private/account details; low intent confidence (0.26),0.809,0.200
1618,a suggestion. It's difficult to browse this format https://t.co/We2P6Usvg7,product_inquiry,False,general_acknowledgement,0.321,"In that case, please try this link: https://t.co/5WdhQO6alT and we'll check this. ^Support",False,clear query with a known inline resolution,0.510,0.400
3107,Can you pls help me on this,general_acknowledgement,True,general_acknowledgement,0.240,Apologies for the delay in refund. I'd like to take a look. Please share your details here: https://t.co/GIJyeYqKE0. ^Support,True,low intent confidence (0.24),0.718,0.400
995,"what the fucking service. Didn't call to customer nd refunded products, order date-29sep2017,order id- 408-1407922-2237939",complaint_feedback,True,return_refund,0.471,Also please don't provide your order/account details as we consider them to be personal information. ^Support,False,clear query with a known inline resolution,0.732,0.200
3290,Waiting in for an Amazon logistics delivery is boring :-(,order_status,False,order_status,0.534,I'm sorry for the experience. Is this in regard to a current order: https://t.co/3kQwjObgTc? We'd like to help if possible. ^Support,False,clear query with a known inline resolution,0.707,0.000
1877,so this is what I get when I pay for amazon prime? Thanks for the frozen stream on WiFi. 🤦🏽‍♂️🤦🏽‍♂️🤦🏽‍♂️ https://t.co/gBZvyh7EYY,complaint_feedback,True,general_acknowledgement,0.205,I'm sorry to see that your delivery has been delayed! Pls let us know if you haven't received it by the new date given! ^Support,True,low intent confidence (0.20),0.702,0.000
5544,The same defective item order was resent to me as replacemnt.Is thr any Quality contrl at Amazon Order no.408-2904446-2943566,damage_defective,True,damage_defective,0.472,I’m sorry about that. I’d like to assist you. Please fill this form: https://t.co/beaaDm0muc and I’ll contact you shortly. ^Support,True,Damaged / defective / wrong item requires private/account details,0.631,0.400
5910,How nu given mere feedback on ur website will resolve issue. The concern I have. Has been already mentioned. Can u help in that ?,complaint_feedback,True,complaint_feedback,0.232,I'm sorry to hear about the trouble! We'd like to get this reported. Please reach out to us here: https://t.co/hApLpMlfHN ^Support,True,low intent confidence (0.23),0.630,0.400
1828,"I know this is a first-world problem, but Amazon really fucks me over a lot with their ""guaranteed"" same-day delivery offers.",complaint_feedback,True,order_status,0.526,Apologies! Allow our support team to investigate this. You can report this here: https://t.co/R3EfhzgU8B ^Support.,False,clear query with a known inline resolution,0.734,0.000
117,@115821 : have shared order details at https://t.co/Soarz7SeHk,order_status,False,order_status,0.258,We've responded to your query here:https://t.co/qxF3sfX730. ^Support,True,low intent confidence (0.26),0.841,0.000
3086,"No haven’t received any emails, that’s the second time you have asked me that",complaint_feedback,True,order_status,0.150,Please let us know if the agent is unable to resolve your issue  ^Support,True,low intent confidence (0.15),0.724,0.200
6061,When will I be able to apply for a refund. The item isn't needed now if it won't be here on time.,return_refund,True,return_refund,0.705,Allow us to take a closer look. Kindly submit your details here: https://t.co/GIJyeYqKE0 and we'll reach out to you. ^Support,False,clear query with a known inline resolution,0.634,0.400
3272,"""Out for Delivery"" which was posted at 7am this morning.",order_status,False,order_status,0.535,"I'm sorry for the delay. If it doesn't arrive by 8PM today, we'd like to help here: https://t.co/hApLpMlfHN ^Support",False,clear query with a known inline resolution,0.769,0.400
5614,hello unable to see suits season 6 episode 11-16,technical_issue,False,damage_defective,0.160,Unfortunately these episodes/ this episode is no longer available. We’re constantly adding new content to our [1/2] ^Support,True,Damaged / defective / wrong item requires private/account details; low intent confidence (0.16),0.739,0.200
6010,it was amazonuk I ordered from,order_status,False,order_status,0.295,I'm sorry for the trouble. Have you sent over the requested information?  ^Support,True,low intent confidence (0.30),0.736,0.400
4108,Amazon,general_acknowledgement,False,product_inquiry,0.309,Please get in touch with us here: https://t.co/JzP7hlA23B at your convenience and we'll discuss available options. ^Support,True,brand typically redirects similar queries (NN redirect 80%),1.000,0.800
3403,"Will I be getting this order# 405-0813433-8085927 picked up, so that I get the replacement initiated?! Pretty unsatisfied!!!",return_refund,False,order_status,0.317,"Sorry to know there's no update on the tracking. Do not worry, we'll have this checked for you. ^Support 1/3",False,clear query with a known inline resolution,0.659,0.400
1433,When @AmazonHelp says they’ll replace your lost parcel at no extra cost yet you still get a £1 charge from them... 🤔,billing_payment,False,return_refund,0.221,"Hmm. We can't access your account via Twitter, but please phone us here: https://t.co/JzP7hlA23B and we'll look into this. ^Support",True,low intent confidence (0.22),0.697,0.200
3953,"Hi @AmazonHelp , my order id is 406-5211780-7866716, it is in hub from last 36 hours &amp; on hold, can u contact them and make it deliver ?",order_status,False,order_status,0.560,"I'm sorry to hear there was a problem, Paul! We can be reached via phone/chat here: https://t.co/JzP7hlA23B ^Support",True,brand typically redirects similar queries (NN redirect 60%),0.722,0.600
3129,Why can't i order my subscribe-and-save items before schedule? Have changed payment method as suggested. Still see this. https://t.co/lfFH64W0JA,technical_issue,True,billing_payment,0.254,Apologies for the delay. Please report this to our support team here: https://t.co/TdDksLo6Mf and we'll look into this. ^Support,True,brand typically redirects similar queries (NN redirect 60%); Billing / payment requires private/account details; low intent confidence (0.25),0.641,0.600
1541,how can I stop things being sent to me by amazon logistics? Next day delivery means next evening delivery for me every time.,complaint_feedback,True,order_status,0.666,I'm sorry for the experience. Is this in regard to a current order: https://t.co/3kQwjObgTc? We'd like to help if possible. ^Support,False,clear query with a known inline resolution,0.703,0.200
2546,"hi my gf ordered me this game (new sold by amazon) and it arrived with no plastic covering, is that normal for this game? https://t.co/tWGK3amn8Q",damage_defective,False,damage_defective,0.267,I'm sorry you received an incorrect item. Kindly return the item using this link: https://t.co/3yqvLnyTxi ^Support,True,Damaged / defective / wrong item requires private/account details; low intent confidence (0.27),0.383,0.200
4482,https://t.co/kenSTrXBUd,general_acknowledgement,True,general_acknowledgement,0.272,Request you to contact the customer support team of the manufacturer as they'll be able to help you with the issue. ^Support,True,low intent confidence (0.27),0.550,0.000
1815,No there is no edit option.,general_acknowledgement,True,product_inquiry,0.232,Please allow the seller a bit longer to respond. ^Support,True,low intent confidence (0.23),0.596,0.200
2243,"I received a very bad quality product, i want a refund and amazon guy is saying he cant help me.. Order no: 406-6200198-1381151",damage_defective,False,return_refund,0.518,We would not be able to access your details over social platform. Please reach out to our 1/3^Support,False,clear query with a known inline resolution,0.738,0.400
2635,What is the procedure when @115850 delivery guy straight-up lies about attempting a delivery?,complaint_feedback,True,order_status,0.487,Apologies for the delivery miss. We'd like to help. Please drop your details here: https://t.co/OM8ERvRKkn get back to you.^Support(1/2),True,brand typically redirects similar queries (NN redirect 80%),0.771,0.800
106,@115821 How do you create a wishlist? I've been trying to figure it out for a while.,product_inquiry,False,product_inquiry,0.244,Let's take a closer look into this with you in real time here: https://t.co/hApLpMlfHN ^Support,True,low intent confidence (0.24),0.610,0.400
3865,It is more than 6 months  and amount is not processed,return_refund,False,billing_payment,0.358,Please reach out to our support team: https://t.co/vlvfJr4nN9 we'll check it right away. ^Support,True,Billing / payment requires private/account details,0.498,0.400
3928,What do think people do at the first instance.   FYI : this is an escalation https://t.co/JbKTUSByQx,complaint_feedback,True,complaint_feedback,0.393,"I get your concern. However, we'll need few details from your end. Kindly use the link above and reach us. We'll look into it. ^Support",False,clear query with a known inline resolution,0.412,0.400
1191,Dat wld b fine!,general_acknowledgement,False,general_acknowledgement,0.215,Allow our support team to investigate this. You can report this here: https://t.co/R3EfhzgU8B ^Support.,True,low intent confidence (0.21),0.377,0.000
302,Same issue,general_acknowledgement,False,technical_issue,0.413,That's really unusual. I'm sure you would have received an email from our team regarding your issue. (1/2) ^Support,False,clear query with a known inline resolution,0.617,0.400
6257,you might want to talk to @115817 about #whatcanbrowndoforyou ... like leaving completely crumbled &amp; open boxes on doorsteps today 😡 https://t.co/Ol1yTUECMm,damage_defective,False,complaint_feedback,0.217,We're always looking to improve! Please send us your requests/feedback here as well: https://t.co/IP9OjsX2BK ^Support,True,low intent confidence (0.22),0.552,0.200
3262,"you guys just keep asking, cant see any action or signs of it! all blindspot episodes",technical_issue,False,complaint_feedback,0.249,We'll add the content once available with us. Kindly stay tuned to https://t.co/TmyzXi1FZD for our latest additions. ^Support,True,low intent confidence (0.25),0.435,0.000
5032,"Hi, I had a parcel delivered the other day, however its gone to the neighbour and I havent been told which one... Help please 😭",order_status,True,order_status,0.459,I'm sorry for the trouble. We'd like to look at this with you. Please contact us here: https://t.co/JzP7hlA23B ^Support,False,clear query with a known inline resolution,0.715,0.400
5540,Why is this a girl's step stool?,product_inquiry,False,complaint_feedback,0.302,"I'm sorry for the delivery issue, Martin. Please contact us here: https://t.co/JzP7hlA23B, so we can take a look into this. ^Support",False,clear query with a known inline resolution,0.366,0.200
2815,Why is it so difficult to find a customer support # @115821 it be easier for me to get in touch with the @140 for Christ sake! Like WTF!,complaint_feedback,True,complaint_feedback,0.173,Apologies for the trouble Praveen. I'll surely pass on your feedback to our team internally. ^Support,True,low intent confidence (0.17),0.638,0.000
4660,Question.  Is my Firestick going bad?  I keep getting an overheating message even after only watching something 4 less than hr,technical_issue,True,technical_issue,0.252,"I'm sorry for the Fire TV Stick issues! Without sharing personal info, will you tell us some more about what's going on? ^Support",True,low intent confidence (0.25),0.562,0.000
915,Y’all want me to sign in and then what,account_access,False,account_access,0.544,Thanks for keeping us posted. Glad everything is sorted out. ^Support,True,Account access / login requires private/account details,0.566,0.400
1601,Okay 😮... But hey.. thanks for your ears 🙄,general_acknowledgement,False,general_acknowledgement,0.221,"As you've shared your details, we'll work on it and get back to you at the earliest. ^Support",True,low intent confidence (0.22),0.469,0.200
556,My foot size is 10.5 UK/India - can u manage the product mentioned in the link? https://t.co/LBY3ZKkhjK,damage_defective,False,product_inquiry,0.279,We've sent a correspondence to your registered email ID. Kindly check it here: https://t.co/8DAc119Io4 ^Support,True,low intent confidence (0.28),0.484,0.000
2680,It's not good enough!! I wanted it on its release date!! I don't see how it's been out for dispatch all day and then tonight it changes!,complaint_feedback,True,order_status,0.262,"Thank you. If it doesn't arrive by Monday, or for direct assistance, please reach us here: https://t.co/JzP7hlA23B ^Support",True,low intent confidence (0.26),0.568,0.400
3643,"The options pointed to were the ones on the web page... Look everywhere, and then wait.",complaint_feedback,True,technical_issue,0.276,"Please do, and please keep us posted on this delivery and whether it arrives today. Thanks! ^Support",True,low intent confidence (0.28),0.593,0.400
